 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) | ZJetsHisto_Rzg | GJetsHisto_Rzg | ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow) |Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 13 : 583.856( 0.022)|435.388 |148.467 |0.002 |430.181| 0.969(0.02) |146.691| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 263.776 | 576.874 | 0.457(0.019) |0.972(0.005,+0.004-0.004) |0.952(0.02)| 1.0(+0.0-0.0) |0.046(+523.587-523.587,+0.033-0.033)
 14 : 11561.339( 0.016)|8784.162 |2776.782 |0.0 |8679.112| 0.962(0.047) |2743.575| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 5412.771 | 11423.077 | 0.474(0.008) |0.94(0.005,+0.005-0.005) |0.956(0.044)| 1.0(+0.0-0.0) |0.012(+8773.029-8773.029,+0.048-0.048)
 15 : 12113.17( 0.015)|9298.092 |2813.732 |0.0 |9186.896| 0.962(0.047) |2780.083| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 5494.694 | 11968.309 | 0.459(0.006) |0.95(0.005,+0.008-0.008) |0.956(0.044)| 1.0(+0.0-0.0) |0.011(+10220.837-10220.837,+0.049-0.049)
 16 : 974.195( 0.019)|771.556 |202.637 |0.001 |762.329| 0.962(0.047) |200.214| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 453.002 | 962.545 | 0.471(0.015) |0.977(0.005,+0.003-0.003) |0.956(0.044)| 1.0(+0.0-0.0) |0.035(+874.312-874.312,+0.05-0.05)
 17 : 5382.065( 0.016)|4551.886 |830.366 |0.0 |4497.45| 0.978(0.027) |820.436| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 2565.297 | 5317.701 | 0.482(0.007) |0.95(0.005,+0.007-0.007) |0.976(0.026)| 1.0(+0.0-0.0) |0.015(+4708.658-4708.658,+0.033-0.033)
 18 : 635.043( 0.021)|551.973 |83.07 |0.002 |545.372| 0.978(0.027) |82.076| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 309.534 | 627.449 | 0.493(0.018) |0.984(0.005,+0.002-0.002) |0.976(0.026)| 1.0(+0.0-0.0) |0.044(+570.758-570.758,+0.037-0.037)
 19 : 901.312( 0.019)|849.702 |51.609 |0.001 |839.541| 0.978(0.027) |50.992| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 441.551 | 890.533 | 0.496(0.015) |0.972(0.005,+0.008-0.008) |0.977(0.027)| 1.0(+0.0-0.0) |0.037(+810.194-810.194,+0.037-0.037)
 20 : 76.372( 0.047)|74.485 |1.887 |0.013 |73.595| 0.978(0.027) |1.864| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 44.244 | 75.459 | 0.586(0.052) |0.925(0.005,+0.021-0.021) |0.978(0.027)| 1.0(+0.0-0.0) |0.126(+68.823-68.823,+0.065-0.065)
 21 : 1227.531( 0.027)|898.94 |328.588 |0.001 |888.19| 0.969(0.02) |324.658| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 567.788 | 1212.85 | 0.468(0.026) |0.863(0.005,+0.018-0.018) |0.952(0.02)| 1.0(+0.0-0.0) |0.039(+897.582-897.582,+0.042-0.042)
 22 : 2088.031( 0.019)|1473.903 |614.12 |0.0 |1456.276| 0.969(0.02) |606.776| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 944.996 | 2063.06 | 0.458(0.014) |0.898(0.005,+0.025-0.025) |0.95(0.02)| 1.0(+0.0-0.0) |0.026(+1758.079-1758.079,+0.039-0.039)
 23 : 322.025( 0.026)|240.594 |81.431 |0.003 |237.717| 0.969(0.02) |80.457| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 150.012 | 318.174 | 0.471(0.026) |0.983(0.005,+0.012-0.012) |0.953(0.02)| 1.0(+0.0-0.0) |0.062(+288.949-288.949,+0.039-0.039)
 24 : 610.263( 0.033)|455.34 |154.922 |0.002 |449.895| 0.962(0.047) |153.07| 0.934(0.032) | 0.987(0.01,0.001) | 1.012(0.014) | 275.722 | 602.965 | 0.457(0.034) |0.901(0.005,+0.011-0.011) |0.955(0.044)| 1.0(+0.0-0.0) |0.053(+460.835-460.835,+0.059-0.059)
 25 : 2902.686( 0.017)|2193.263 |709.485 |0.0 |2167.034| 0.962(0.047) |701.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 1356.173 | 2867.973 | 0.473(0.011) |0.916(0.005,+0.014-0.014) |0.955(0.044)| 1.0(+0.0-0.0) |0.022(+2469.414-2469.414,+0.051-0.051)
 26 : 537.645( 0.022)|417.132 |120.513 |0.002 |412.143| 0.962(0.047) |119.071| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 250.405 | 531.215 | 0.471(0.02) |0.956(0.005,+0.01-0.01) |0.956(0.044)| 1.0(+0.0-0.0) |0.048(+482.622-482.622,+0.053-0.053)
 27 : 865.837( 0.021)|718.075 |147.761 |0.001 |709.487| 0.978(0.027) |145.993| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 408.01 | 855.483 | 0.477(0.017) |0.905(0.005,+0.012-0.012) |0.976(0.025)| 1.0(+0.0-0.0) |0.038(+765.474-765.474,+0.038-0.038)
 28 : 330.45( 0.026)|281.351 |49.099 |0.003 |277.987| 0.978(0.027) |48.512| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 165.207 | 326.498 | 0.506(0.025) |0.971(0.005,+0.006-0.006) |0.976(0.026)| 1.0(+0.0-0.0) |0.061(+297.132-297.132,+0.041-0.041)
 29 : 193.379( 0.032)|179.943 |13.436 |0.005 |177.791| 0.978(0.027) |13.275| 0.964(0.018) | 0.979(0.01,0.006) | 1.012(0.014) | 88.085 | 191.066 | 0.461(0.033) |0.923(0.005,+0.021-0.021) |0.977(0.026)| 1.0(+0.0-0.0) |0.08(+173.421-173.421,+0.051-0.051)
 30 : 42.995( 0.061)|41.382 |1.613 |0.024 |40.887| 0.978(0.027) |1.593| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 23.218 | 42.481 | 0.547(0.069) |0.88(0.005,+0.049-0.049) |0.978(0.027)| 1.0(+0.0-0.0) |0.168(+38.76-38.76,+0.09-0.09)
 31 : 197.817( 0.041)|134.889 |62.927 |0.005 |133.276| 0.969(0.02) |62.174| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 89.81 | 195.451 | 0.46(0.044) |0.816(0.005,+0.071-0.071) |0.948(0.02)| 1.0(+0.0-0.0) |0.084(+166.037-166.037,+0.088-0.088)
 32 : 77.595( 0.047)|51.989 |25.606 |0.013 |51.367| 0.969(0.02) |25.3| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 37.26 | 76.667 | 0.486(0.052) |0.935(0.005,+0.026-0.026) |0.948(0.02)| 1.0(+0.0-0.0) |0.126(+69.678-69.678,+0.065-0.065)
 33 : 228.963( 0.036)|167.936 |61.027 |0.004 |165.928| 0.962(0.047) |60.297| 0.934(0.032) | 0.987(0.01,0.001) | 1.012(0.014) | 112.254 | 226.225 | 0.496(0.038) |0.849(0.005,+0.04-0.04) |0.955(0.043)| 1.0(+0.0-0.0) |0.076(+196.694-196.694,+0.072-0.072)
 34 : 119.76( 0.038)|90.032 |29.728 |0.008 |88.955| 0.962(0.047) |29.372| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 59.491 | 118.328 | 0.503(0.042) |0.994(0.005,+0.006-0.006) |0.955(0.044)| 1.0(+0.0-0.0) |0.101(+107.699-107.699,+0.064-0.064)
 35 : 52.677( 0.061)|46.016 |6.661 |0.019 |45.466| 0.978(0.027) |6.582| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 28.19 | 52.047 | 0.542(0.068) |0.904(0.005,+0.021-0.021) |0.976(0.026)| 1.0(+0.0-0.0) |0.154(+46.741-46.741,+0.078-0.078)
 36 : 72.231( 0.048)|59.492 |12.739 |0.014 |58.781| 0.978(0.027) |12.587| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 36.2 | 71.367 | 0.507(0.053) |0.97(0.005,+0.019-0.019) |0.976(0.025)| 1.0(+0.0-0.0) |0.13(+65.045-65.045,+0.065-0.065)
 37 : 19.603( 0.089)|18.363 |1.239 |0.052 |18.144| 0.978(0.027) |1.225| 0.964(0.018) | 0.979(0.01,0.005) | 1.012(0.014) | 8.547 | 19.368 | 0.441(0.106) |0.851(0.005,+0.063-0.063) |0.977(0.026)| 1.0(+0.0-0.0) |0.251(+17.567-17.567,+0.127-0.127)
 38 : 10.343( 0.124)|9.673 |0.671 |0.098 |9.557| 0.978(0.027) |0.663| 0.964(0.018) | 0.979(0.01,0.006) | 1.012(0.014) | 5.575 | 10.22 | 0.546(0.142) |0.88(0.005,+0.049-0.049) |0.977(0.026)| 1.0(+0.0-0.0) |0.344(+9.303-9.303,+0.154-0.154)
 39 : 7.574( 0.18)|5.301 |2.273 |0.134 |5.238| 0.969(0.02) |2.246| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 3.544 | 7.484 | 0.474(0.206) |0.816(0.005,+0.071-0.071) |0.949(0.02)| 1.0(+0.0-0.0) |0.42(+6.519-6.519,+0.22-0.22)
 40 : 10.045( 0.122)|6.467 |3.578 |0.101 |6.39| 0.969(0.02) |3.535| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 4.657 | 9.925 | 0.469(0.144) |0.935(0.005,+0.026-0.026) |0.946(0.02)| 1.0(+0.0-0.0) |0.349(+9.04-9.04,+0.149-0.149)
 41 : 8.145( 0.152)|6.388 |1.757 |0.124 |6.312| 0.962(0.047) |1.736| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 3.98 | 8.048 | 0.495(0.179) |0.849(0.005,+0.04-0.04) |0.956(0.044)| 1.0(+0.0-0.0) |0.395(+7.179-7.179,+0.189-0.189)
 42 : 13.991( 0.104)|9.844 |4.147 |0.072 |9.726| 0.962(0.047) |4.098| 0.934(0.032) | 0.987(0.01,0.001) | 1.012(0.014) | 7.115 | 13.824 | 0.515(0.121) |0.994(0.005,+0.006-0.006) |0.954(0.043)| 1.0(+0.0-0.0) |0.295(+12.601-12.601,+0.13-0.13)
 43 : 1.367( 0.335)|1.247 |0.12 |0.74 |1.232| 0.978(0.027) |0.119| 0.964(0.018) | 0.986(0.01,0.002) | 1.012(0.014) | 0.965 | 1.351 | 0.715(0.381) |0.904(0.005,+0.021-0.021) |0.977(0.026)| 1.0(+0.0-0.0) |0.941(+1.235-1.235,+0.383-0.383)
 44 : 8.589( 0.132)|7.027 |1.562 |0.118 |6.943| 0.978(0.027) |1.543| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 4.244 | 8.486 | 0.5(0.155) |0.97(0.005,+0.019-0.019) |0.975(0.025)| 1.0(+0.0-0.0) |0.377(+7.736-7.736,+0.159-0.159)
 45 : 1.102( 0.376)|1.102 |0.0 |0.918 |1.089| 0.978(0.027) |0.0| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 0.546 | 1.089 | 0.502(0.441) |0.851(0.005,+0.063-0.063) |0.978(0.027)| 1.0(+0.0-0.0) |1.055(+1.867-1.867,+0.447-0.447)
 46 : 1.352( 0.34)|1.251 |0.101 |0.749 |1.236| 0.978(0.027) |0.1| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 0.744 | 1.336 | 0.557(0.391) |0.977(0.005,+0.003-0.003) |0.977(0.026)| 1.0(+0.0-0.0) |0.95(+1.217-1.217,+0.393-0.393)
